,date,product_detail,product_category,product_type,revenue
131,2023-01-03,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,56.25
132,2023-01-03,Almond Croissant,Bakery,Pastry,26.25
133,2023-01-03,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,22.0
134,2023-01-03,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,104.5
135,2023-01-03,Oatmeal Scone,Bakery,Scone,21.0
136,2023-01-03,Brazilian Lg,Coffee,Organic brewed coffee,87.5
137,2023-01-03,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,56.0
138,2023-01-03,Cappuccino,Coffee,Barista Espresso,41.25
139,2023-01-03,Brazilian Sm,Coffee,Organic brewed coffee,55.0
140,2023-01-03,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,52.7
141,2023-01-03,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,56.25
142,2023-01-03,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,42.5
143,2023-01-03,Lemon Grass Lg,Tea,Brewed herbal tea,66.0
144,2023-01-03,Chocolate Chip Biscotti,Bakery,Biscotti,28.0
145,2023-01-03,Latte Rg,Coffee,Barista Espresso,85.0
146,2023-01-03,Our Old Time Diner Blend Rg,Coffee,Drip coffee,37.5
147,2023-01-03,Peppermint Rg,Tea,Brewed herbal tea,25.0
148,2023-01-03,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,60.0
149,2023-01-03,English Breakfast Lg,Tea,Brewed Black tea,57.0
150,2023-01-03,Our Old Time Diner Blend Lg,Coffee,Drip coffee,51.0
151,2023-01-03,Scottish Cream Scone ,Bakery,Scone,40.5
152,2023-01-03,Earl Grey Rg,Tea,Brewed Black tea,72.5
153,2023-01-03,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,29.4
154,2023-01-03,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,58.9
155,2023-01-03,Latte,Coffee,Barista Espresso,78.75
156,2023-01-04,Earl Grey Rg,Tea,Brewed Black tea,70.0
157,2023-01-04,Our Old Time Diner Blend Sm,Coffee,Drip coffee,42.0
158,2023-01-04,Ethiopia Sm,Coffee,Gourmet brewed coffee,39.6
159,2023-01-04,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,27.5
160,2023-01-04,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,51.0
161,2023-01-04,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,28.0
162,2023-01-04,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,68.6
163,2023-01-04,Cappuccino,Coffee,Barista Espresso,63.75
164,2023-01-04,Ethiopia Lg,Coffee,Gourmet brewed coffee,28.0
165,2023-01-04,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,64.0
166,2023-01-04,Scottish Cream Scone ,Bakery,Scone,4.5
167,2023-01-04,Peppermint Lg,Tea,Brewed herbal tea,84.0
168,2023-01-04,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,45.5
169,2023-01-04,Oatmeal Scone,Bakery,Scone,9.0
170,2023-01-04,Lemon Grass Rg,Tea,Brewed herbal tea,32.5
171,2023-01-04,Brazilian Sm,Coffee,Organic brewed coffee,35.2
172,2023-01-04,Serenity Green Tea Rg,Tea,Brewed Green tea,50.0
173,2023-01-04,Our Old Time Diner Blend Rg,Coffee,Drip coffee,40.0
174,2023-01-04,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,52.5
175,2023-01-04,Jumbo Savory Scone,Bakery,Scone,18.76
176,2023-01-04,Brazilian Rg,Coffee,Organic brewed coffee,42.0
177,2023-01-04,Chocolate Croissant,Bakery,Pastry,48.75
178,2023-01-04,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,57.0
179,2023-01-04,Traditional Blend Chai Rg,Tea,Brewed Chai tea,32.5
180,2023-01-04,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,54.0
181,2023-01-04,Chocolate Chip Biscotti,Bakery,Biscotti,24.5
182,2023-01-04,Traditional Blend Chai Lg,Tea,Brewed Chai tea,30.0
183,2023-01-04,Earl Grey Lg,Tea,Brewed Black tea,54.0
184,2023-01-04,Ginger Biscotti,Bakery,Biscotti,30.66
185,2023-01-04,Brazilian Lg,Coffee,Organic brewed coffee,84.0
186,2023-01-04,English Breakfast Lg,Tea,Brewed Black tea,48.0
187,2023-01-04,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,58.9
188,2023-01-04,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,103.5
189,2023-01-04,Ginger Scone,Bakery,Scone,36.54
190,2023-01-04,Croissant,Bakery,Pastry,3.5
191,2023-01-04,Espresso shot,Coffee,Barista Espresso,39.0
192,2023-01-04,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,55.8
193,2023-01-04,Almond Croissant,Bakery,Pastry,26.25
194,2023-01-04,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,57.5
195,2023-01-04,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,60.0
196,2023-01-04,Lemon Grass Lg,Tea,Brewed herbal tea,36.0
197,2023-01-04,Cappuccino Lg,Coffee,Barista Espresso,29.75
198,2023-01-04,Ethiopia Rg,Coffee,Gourmet brewed coffee,24.0
199,2023-01-04,Cranberry Scone,Bakery,Scone,16.24
200,2023-01-04,Latte Rg,Coffee,Barista Espresso,80.75
201,2023-01-04,English Breakfast Rg,Tea,Brewed Black tea,17.5
202,2023-01-04,Hazelnut Biscotti,Bakery,Biscotti,16.25
203,2023-01-04,Serenity Green Tea Lg,Tea,Brewed Green tea,51.0
204,2023-01-04,Latte,Coffee,Barista Espresso,33.75
205,2023-01-04,Our Old Time Diner Blend Lg,Coffee,Drip coffee,57.0
206,2023-01-04,Ouro Brasileiro shot,Coffee,Barista Espresso,30.0
207,2023-01-04,Peppermint Rg,Tea,Brewed herbal tea,47.5
208,2023-01-05,Traditional Blend Chai Lg,Tea,Brewed Chai tea,18.0
209,2023-01-05,Hazelnut Biscotti,Bakery,Biscotti,9.75
210,2023-01-05,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,85.5
211,2023-01-05,Cappuccino,Coffee,Barista Espresso,71.25
212,2023-01-05,Cranberry Scone,Bakery,Scone,44.66
213,2023-01-05,Earl Grey Lg,Tea,Brewed Black tea,63.0
214,2023-01-05,Scottish Cream Scone ,Bakery,Scone,36.0
215,2023-01-05,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,41.65
216,2023-01-05,Latte Rg,Coffee,Barista Espresso,106.25
217,2023-01-05,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,80.75
218,2023-01-05,Peppermint Lg,Tea,Brewed herbal tea,75.0
219,2023-01-05,Croissant,Bakery,Pastry,31.5
220,2023-01-05,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,93.75
221,2023-01-05,Ethiopia Sm,Coffee,Gourmet brewed coffee,28.6
222,2023-01-05,Cappuccino Lg,Coffee,Barista Espresso,85.0
223,2023-01-05,Brazilian Lg,Coffee,Organic brewed coffee,56.0
224,2023-01-05,Ouro Brasileiro shot,Coffee,Barista Espresso,42.0
225,2023-01-05,Serenity Green Tea Lg,Tea,Brewed Green tea,69.0
226,2023-01-05,Peppermint Rg,Tea,Brewed herbal tea,35.0
227,2023-01-05,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,34.0
228,2023-01-05,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,43.4
229,2023-01-05,Lemon Grass Lg,Tea,Brewed herbal tea,69.0
230,2023-01-05,Chocolate Croissant,Bakery,Pastry,33.75
231,2023-01-05,Ethiopia Rg,Coffee,Gourmet brewed coffee,51.0
232,2023-01-05,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,53.55
233,2023-01-05,Jumbo Savory Scone,Bakery,Scone,37.52
234,2023-01-05,Earl Grey Rg,Tea,Brewed Black tea,52.5
235,2023-01-05,Espresso shot,Coffee,Barista Espresso,48.0
236,2023-01-05,Ginger Biscotti,Bakery,Biscotti,17.52
237,2023-01-05,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,20.0
238,2023-01-05,Our Old Time Diner Blend Sm,Coffee,Drip coffee,30.0
239,2023-01-05,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,77.5
240,2023-01-05,Almond Croissant,Bakery,Pastry,11.25
241,2023-01-05,Serenity Green Tea Rg,Tea,Brewed Green tea,37.5
242,2023-01-05,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,60.0
243,2023-01-05,Lemon Grass Rg,Tea,Brewed herbal tea,37.5
244,2023-01-05,Ginger Scone,Bakery,Scone,36.54
245,2023-01-05,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,40.0
246,2023-01-05,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,63.75
247,2023-01-05,English Breakfast Lg,Tea,Brewed Black tea,87.0
248,2023-01-05,Latte,Coffee,Barista Espresso,71.25
249,2023-01-05,Ethiopia Lg,Coffee,Gourmet brewed coffee,17.5
250,2023-01-05,Our Old Time Diner Blend Lg,Coffee,Drip coffee,36.0
251,2023-01-05,Our Old Time Diner Blend Rg,Coffee,Drip coffee,40.0
252,2023-01-05,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,38.5
253,2023-01-05,Traditional Blend Chai Rg,Tea,Brewed Chai tea,42.5
254,2023-01-05,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,30.0
255,2023-01-05,Oatmeal Scone,Bakery,Scone,21.0
256,2023-01-05,English Breakfast Rg,Tea,Brewed Black tea,55.0
257,2023-01-05,Brazilian Rg,Coffee,Organic brewed coffee,36.0
258,2023-01-05,Brazilian Sm,Coffee,Organic brewed coffee,37.4
259,2023-01-05,Chocolate Chip Biscotti,Bakery,Biscotti,7.0
260,2023-01-06,Traditional Blend Chai Rg,Tea,Brewed Chai tea,25.0
261,2023-01-06,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,41.65
262,2023-01-06,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,35.0
263,2023-01-06,Brazilian Lg,Coffee,Organic brewed coffee,80.5
264,2023-01-06,Chocolate Croissant,Bakery,Pastry,33.75
265,2023-01-06,Lemon Grass Lg,Tea,Brewed herbal tea,54.0
266,2023-01-06,Croissant,Bakery,Pastry,7.0
267,2023-01-06,Cappuccino Lg,Coffee,Barista Espresso,76.5
268,2023-01-06,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,53.55
269,2023-01-06,Oatmeal Scone,Bakery,Scone,21.0
270,2023-01-06,Chocolate Chip Biscotti,Bakery,Biscotti,10.5
271,2023-01-06,Ethiopia Sm,Coffee,Gourmet brewed coffee,52.8
272,2023-01-06,Cranberry Scone,Bakery,Scone,28.42
273,2023-01-06,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,46.5
274,2023-01-06,Scottish Cream Scone ,Bakery,Scone,36.0
275,2023-01-06,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,70.0
276,2023-01-06,Earl Grey Lg,Tea,Brewed Black tea,42.0
277,2023-01-06,Earl Grey Rg,Tea,Brewed Black tea,25.0
278,2023-01-06,Ginger Biscotti,Bakery,Biscotti,48.18
279,2023-01-06,Almond Croissant,Bakery,Pastry,18.75
280,2023-01-06,Ethiopia Rg,Coffee,Gourmet brewed coffee,51.0
281,2023-01-06,Peppermint Rg,Tea,Brewed herbal tea,52.5
282,2023-01-06,Ginger Scone,Bakery,Scone,36.54
283,2023-01-06,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,24.0
284,2023-01-06,Our Old Time Diner Blend Sm,Coffee,Drip coffee,28.0
285,2023-01-06,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,66.5
286,2023-01-06,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,34.1
287,2023-01-06,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,81.0
288,2023-01-06,Traditional Blend Chai Lg,Tea,Brewed Chai tea,27.0
289,2023-01-06,Espresso shot,Coffee,Barista Espresso,45.0
290,2023-01-06,Ouro Brasileiro shot,Coffee,Barista Espresso,39.0
291,2023-01-06,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,72.0
292,2023-01-06,Brazilian Sm,Coffee,Organic brewed coffee,33.0
293,2023-01-06,Hazelnut Biscotti,Bakery,Biscotti,35.75
294,2023-01-06,Lemon Grass Rg,Tea,Brewed herbal tea,55.0
295,2023-01-06,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,48.75
296,2023-01-06,Latte,Coffee,Barista Espresso,56.25
297,2023-01-06,English Breakfast Lg,Tea,Brewed Black tea,78.0
298,2023-01-06,Latte Rg,Coffee,Barista Espresso,46.75
299,2023-01-06,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,52.0
300,2023-01-06,English Breakfast Rg,Tea,Brewed Black tea,42.5
301,2023-01-06,Jumbo Savory Scone,Bakery,Scone,28.14
302,2023-01-06,Our Old Time Diner Blend Lg,Coffee,Drip coffee,51.0
303,2023-01-06,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,67.5
304,2023-01-06,Serenity Green Tea Rg,Tea,Brewed Green tea,30.0
305,2023-01-06,Our Old Time Diner Blend Rg,Coffee,Drip coffee,50.0
306,2023-01-06,Brazilian Rg,Coffee,Organic brewed coffee,39.0
307,2023-01-06,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,65.0
308,2023-01-06,Ethiopia Lg,Coffee,Gourmet brewed coffee,49.0
309,2023-01-06,Serenity Green Tea Lg,Tea,Brewed Green tea,42.0
310,2023-01-06,Peppermint Lg,Tea,Brewed herbal tea,21.0
311,2023-01-06,Cappuccino,Coffee,Barista Espresso,48.75
312,2023-01-07,English Breakfast Lg,Tea,Brewed Black tea,30.0
313,2023-01-07,Guatemalan Sustainably Grown,Coffee beans,Green beans,10.0
314,2023-01-07,Primo Espresso Roast,Coffee beans,Espresso Beans,40.9
315,2023-01-07,Ginger Scone,Bakery,Scone,16.24
316,2023-01-07,Hazelnut Biscotti,Bakery,Biscotti,29.25
317,2023-01-07,Organic Decaf Blend,Coffee beans,Organic Beans,112.5
318,2023-01-07,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,35.0
319,2023-01-07,Traditional Blend Chai Rg,Tea,Brewed Chai tea,52.5
320,2023-01-07,Espresso shot,Coffee,Barista Espresso,39.0
321,2023-01-07,Jamacian Coffee River,Coffee beans,Premium Beans,19.75
322,2023-01-07,Brazilian Sm,Coffee,Organic brewed coffee,41.8
323,2023-01-07,Earl Grey Rg,Tea,Brewed Black tea,57.5
324,2023-01-07,Traditional Blend Chai Lg,Tea,Brewed Chai tea,60.0
325,2023-01-07,Ginger Biscotti,Bakery,Biscotti,30.66
326,2023-01-07,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,46.5
327,2023-01-07,Cranberry Scone,Bakery,Scone,16.24
328,2023-01-07,Brazilian Rg,Coffee,Organic brewed coffee,51.0
329,2023-01-07,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,61.25
330,2023-01-07,Ethiopia,Coffee beans,Gourmet Beans,42.0
331,2023-01-07,Serenity Green Tea Lg,Tea,Brewed Green tea,45.0
332,2023-01-07,Latte Rg,Coffee,Barista Espresso,85.0
333,2023-01-07,Ethiopia Sm,Coffee,Gourmet brewed coffee,30.8
334,2023-01-07,Ethiopia Lg,Coffee,Gourmet brewed coffee,42.0
335,2023-01-07,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,104.5
336,2023-01-07,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,17.5
337,2023-01-07,Our Old Time Diner Blend Lg,Coffee,Drip coffee,75.0
338,2023-01-07,Brazilian Lg,Coffee,Organic brewed coffee,80.5
339,2023-01-07,Ethiopia Rg,Coffee,Gourmet brewed coffee,63.0
340,2023-01-07,Our Old Time Diner Blend Rg,Coffee,Drip coffee,37.5
341,2023-01-07,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,63.0
342,2023-01-07,English Breakfast Rg,Tea,Brewed Black tea,52.5
343,2023-01-07,Cappuccino,Coffee,Barista Espresso,63.75
344,2023-01-07,Almond Croissant,Bakery,Pastry,15.0
345,2023-01-07,Serenity Green Tea Rg,Tea,Brewed Green tea,35.0
346,2023-01-07,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,43.35
347,2023-01-07,Chocolate syrup,Flavours,Regular syrup,8.0
348,2023-01-07,Scottish Cream Scone ,Bakery,Scone,27.0
349,2023-01-07,Lemon Grass Lg,Tea,Brewed herbal tea,51.0
350,2023-01-07,Lemon Grass Rg,Tea,Brewed herbal tea,20.0
351,2023-01-07,Our Old Time Diner Blend Sm,Coffee,Drip coffee,34.0
352,2023-01-07,Chocolate Chip Biscotti,Bakery,Biscotti,28.0
353,2023-01-07,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,93.75
354,2023-01-07,Morning Sunrise Chai,Loose Tea,Chai tea,9.5
355,2023-01-07,Earl Grey Lg,Tea,Brewed Black tea,33.0
356,2023-01-07,Carmel syrup,Flavours,Regular syrup,6.4
357,2023-01-07,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,52.0
358,2023-01-07,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,9.0
359,2023-01-07,Chocolate Croissant,Bakery,Pastry,71.25
360,2023-01-07,Dark chocolate,Packaged Chocolate,Drinking Chocolate,12.8
361,2023-01-07,Sugar Free Vanilla syrup,Flavours,Sugar free syrup,8.8
362,2023-01-07,Brazilian - Organic,Coffee beans,Organic Beans,18.0
363,2023-01-07,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,40.0
364,2023-01-07,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,65.1
365,2023-01-07,Hazelnut syrup,Flavours,Regular syrup,8.0
